,Neighborhood,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue
991,Wǔlǐqiáo,Fast Food Restaurant,Coffee Shop,Convenience Store,Zoo Exhibit,Farmers Market,Financial or Legal Service,Filipino Restaurant,Field,Festival,Farm
992,Xiangheyuan,Japanese Restaurant,Garden,Szechuan Restaurant,Market,Dance Studio,Flea Market,Factory,Falafel Restaurant,Farm,Farmers Market
993,Xiangshan,Asian Restaurant,Bus Station,Café,Festival,Fish Market,Fish & Chips Shop,Financial or Legal Service,Filipino Restaurant,Field,Zoo Exhibit
994,Xiangshuiyuan,Chinese Restaurant,Asian Restaurant,Zoo Exhibit,Fish Market,Exhibit,Fabric Shop,Factory,Falafel Restaurant,Farm,Farmers Market
995,Xiaoguan,Hotel,Bar,Steakhouse,Gourmet Shop,Chinese Restaurant,Restaurant,Café,Gym,Coffee Shop,Tea Room
996,Xiluoyuan,Electronics Store,Asian Restaurant,Fast Food Restaurant,Restaurant,Fish & Chips Shop,Financial or Legal Service,Filipino Restaurant,Field,Festival,Zoo Exhibit
997,Xingfeng,Asian Restaurant,Zoo Exhibit,Fish Market,Event Space,Exhibit,Fabric Shop,Factory,Falafel Restaurant,Farm,Farmers Market
998,Xinjiekou,Chinese Restaurant,Metro Station,Asian Restaurant,Zoo Exhibit,Fish Market,Fabric Shop,Factory,Falafel Restaurant,Farm,Farmers Market
999,Xiàyáng,Fast Food Restaurant,Zoo Exhibit,Ethiopian Restaurant,Event Space,Exhibit,Fabric Shop,Factory,Falafel Restaurant,Farm,Farmers Market
1000,Xiānghuāqiáo,Chinese Restaurant,Zoo Exhibit,Event Service,Exhibit,Fabric Shop,Factory,Falafel Restaurant,Farm,Farmers Market,Fast Food Restaurant
1001,Xueyuan Road,Japanese Restaurant,Noodle House,Shabu-Shabu Restaurant,Pizza Place,Fast Food Restaurant,Farmers Market,Filipino Restaurant,Field,Festival,Farm
1002,Xújiāhuì,Chinese Restaurant,Noodle House,Coffee Shop,Taiwanese Restaurant,Shopping Mall,New American Restaurant,Grocery Store,Clothing Store,Thai Restaurant,Dumpling Restaurant
1003,Xújīng Zhèn,Hotel,Shanghai Restaurant,Massage Studio,Zoo Exhibit,Farm,Field,Festival,Fast Food Restaurant,Farmers Market,Falafel Restaurant
1004,Xīdù,Metro Station,Zoo Exhibit,Event Service,Exhibit,Fabric Shop,Factory,Falafel Restaurant,Farm,Farmers Market,Fast Food Restaurant
1005,Xīnchǎng Zhèn,Metro Station,Zoo Exhibit,Event Service,Exhibit,Fabric Shop,Factory,Falafel Restaurant,Farm,Farmers Market,Fast Food Restaurant
1006,Xīnhuálù,Dive Bar,Cocktail Bar,Coffee Shop,Shanghai Restaurant,Zoo Exhibit,Farmers Market,Filipino Restaurant,Field,Festival,Fast Food Restaurant
1007,Xīnjiāngwānchéng,Coffee Shop,Szechuan Restaurant,Department Store,Metro Station,Zoo Exhibit,Financial or Legal Service,Filipino Restaurant,Field,Festival,Fast Food Restaurant
1008,Xīnjīng Zhèn,Bus Station,Chinese Restaurant,Fast Food Restaurant,Zoo Exhibit,Fish Market,Exhibit,Fabric Shop,Factory,Falafel Restaurant,Farm
1009,Xīnqiáo Zhèn,Train Station,Fish Market,Event Service,Event Space,Exhibit,Fabric Shop,Factory,Falafel Restaurant,Farm,Farmers Market
1010,Yam O,Bay,Zoo Exhibit,Event Service,Exhibit,Fabric Shop,Factory,Falafel Restaurant,Farm,Farmers Market,Fast Food Restaurant
1011,Yanaka Cemetery,Trail,Historic Site,Bed & Breakfast,Cemetery,Zoo Exhibit,Farmers Market,Filipino Restaurant,Field,Festival,Fast Food Restaurant
1012,Yanesen,Convenience Store,Café,Shopping Mall,Liquor Store,Park,Donut Shop,BBQ Joint,Pie Shop,Soba Restaurant,Chinese Restaurant
1013,Yangfangdian,Japanese Restaurant,Coffee Shop,Bus Station,Fast Food Restaurant,Park,Farmers Market,Financial or Legal Service,Filipino Restaurant,Field,Festival
1014,Yau Ma Tei,Hotel,Hong Kong Restaurant,Cantonese Restaurant,Ramen Restaurant,Noodle House,Hotpot Restaurant,Fast Food Restaurant,Seafood Restaurant,Satay Restaurant,Farmers Market
1015,Yau Tong,Dessert Shop,Shopping Mall,Gourmet Shop,Tea Room,Donburi Restaurant,Japanese Restaurant,Hakka Restaurant,Cha Chaan Teng,Metro Station,Bus Station
1016,Yau Yat Chuen,Restaurant,Grocery Store,Convenience Store,Asian Restaurant,Zoo Exhibit,Fast Food Restaurant,Financial or Legal Service,Filipino Restaurant,Field,Festival
1017,Yayuncun,Hotel,Coffee Shop,Fast Food Restaurant,Pizza Place,Shopping Mall,Zoo Exhibit,Festival,Farmers Market,Farm,Falafel Restaurant
1018,Yew Tee,Fast Food Restaurant,Japanese Restaurant,Café,Shopping Mall,Cosmetics Shop,Sandwich Place,Food Court,Diner,Filipino Restaurant,Field
1019,Yio Chu Kang,Pool,Convenience Store,Tennis Court,Bus Stop,Financial or Legal Service,Filipino Restaurant,Field,Festival,Fast Food Restaurant,Farmers Market
1020,Yishun,Fried Chicken Joint,Italian Restaurant,Café,Chinese Restaurant,Supermarket,Food Court,Burger Joint,Bookstore,Pharmacy,Bakery
1021,Yongdingmenwai,Metro Station,Zoo Exhibit,Event Service,Exhibit,Fabric Shop,Factory,Falafel Restaurant,Farm,Farmers Market,Fast Food Restaurant
1022,York Mills,Coffee Shop,Gym,Bus Station,Thai Restaurant,Intersection,Deli / Bodega,Metro Station,Sandwich Place,Indian Restaurant,Farmers Market
1023,York University,Coffee Shop,Restaurant,American Restaurant,Field,Salad Place,Fast Food Restaurant,Mexican Restaurant,Café,Falafel Restaurant,Shopping Mall
1024,Yorkville,Café,Italian Restaurant,Boutique,Coffee Shop,French Restaurant,Gourmet Shop,Sushi Restaurant,Spa,Gym / Fitness Center,Clothing Store
1025,Yotsuya,Sake Bar,Convenience Store,Ramen Restaurant,Soba Restaurant,Train Station,Chinese Restaurant,Gym,Tonkatsu Restaurant,Platform,Thai Restaurant
1026,You'anmen,Peking Duck Restaurant,Zoo Exhibit,Event Service,Exhibit,Fabric Shop,Factory,Falafel Restaurant,Farm,Farmers Market,Fast Food Restaurant
1027,Yoyogi,Convenience Store,Japanese Restaurant,Coffee Shop,Café,Italian Restaurant,Sake Bar,Ramen Restaurant,BBQ Joint,Rock Club,Japanese Curry Restaurant
1028,Yuen Chau Kok,Bus Stop,Chinese Restaurant,Karaoke Bar,Convenience Store,Zoo Exhibit,Fast Food Restaurant,Financial or Legal Service,Filipino Restaurant,Field,Festival
1029,Yuen Long,Chinese Restaurant,Noodle House,Italian Restaurant,Vegetarian / Vegan Restaurant,Dessert Shop,Dim Sum Restaurant,Dumpling Restaurant,Shanxi Restaurant,Shopping Mall,Fast Food Restaurant
1030,Yuetan,Hubei Restaurant,Grocery Store,Chinese Restaurant,Movie Theater,Fast Food Restaurant,Financial or Legal Service,Filipino Restaurant,Field,Festival,Farmers Market
1031,Yung Shue Ha,Historic Site,Harbor / Marina,Zoo Exhibit,Fish & Chips Shop,Event Space,Exhibit,Fabric Shop,Factory,Falafel Restaurant,Farm
1032,Yung Shue Wan,Seafood Restaurant,Café,Japanese Restaurant,Comfort Food Restaurant,Thai Restaurant,Cha Chaan Teng,Food & Drink Shop,Bar,Gastropub,Chinese Restaurant
1033,Yunnan,Asian Restaurant,Bus Station,Zoo Exhibit,Fast Food Restaurant,Fish & Chips Shop,Financial or Legal Service,Filipino Restaurant,Field,Festival,Farmers Market
1034,Yuèpǔ Zhèn,Chinese Restaurant,Zoo Exhibit,Event Service,Exhibit,Fabric Shop,Factory,Falafel Restaurant,Farm,Farmers Market,Fast Food Restaurant
1035,Yuèyáng,Coffee Shop,Zoo Exhibit,Fish Market,Event Space,Exhibit,Fabric Shop,Factory,Falafel Restaurant,Farm,Farmers Market
1036,Yángjīng,Hong Kong Restaurant,Zoo Exhibit,Fish & Chips Shop,Event Service,Event Space,Exhibit,Fabric Shop,Factory,Falafel Restaurant,Farm
1037,Yíngpǔ,Italian Restaurant,Zoo Exhibit,Farm,Financial or Legal Service,Filipino Restaurant,Field,Festival,Fast Food Restaurant,Farmers Market,Falafel Restaurant
1038,Yùyuán,Market,Chinese Restaurant,Coffee Shop,Dumpling Restaurant,Shopping Mall,Tea Room,Park,Historic Site,Bakery,Fast Food Restaurant
1039,Yīnháng,Chinese Restaurant,Stadium,Zoo Exhibit,Fish Market,Exhibit,Fabric Shop,Factory,Falafel Restaurant,Farm,Farmers Market
1040,Yōga,Coffee Shop,Convenience Store,Ramen Restaurant,Chinese Restaurant,Yakitori Restaurant,Tonkatsu Restaurant,Supermarket,ATM,Grocery Store,Train Station
1041,Yūrei zaka,Park,Convenience Store,Discount Store,Drugstore,Kosher Restaurant,Bakery,Zoo Exhibit,Financial or Legal Service,Filipino Restaurant,Field
1042,Yǒuyìlù,Shopping Mall,Office,Zoo Exhibit,Farm,Filipino Restaurant,Field,Festival,Fast Food Restaurant,Farmers Market,Factory
1043,Zeilsheim,Supermarket,Zoo Exhibit,Fish Market,Event Space,Exhibit,Fabric Shop,Factory,Falafel Restaurant,Farm,Farmers Market
1044,Zhanlan Road,Dumpling Restaurant,Hotel Bar,Asian Restaurant,Accessories Store,Exhibit,Fabric Shop,Factory,Falafel Restaurant,Farm,Farmers Market
1045,Zhongguancun,Japanese Restaurant,Sandwich Place,Metro Station,Coffee Shop,Bagel Shop,Fast Food Restaurant,Hardware Store,Department Store,Forest,Food Truck
1046,Zhuānqiáo Zhèn,Fast Food Restaurant,Zoo Exhibit,Ethiopian Restaurant,Event Space,Exhibit,Fabric Shop,Factory,Falafel Restaurant,Farm,Farmers Market
1047,Zhàoxiàng Zhèn,Supermarket,Zoo Exhibit,Fish Market,Event Space,Exhibit,Fabric Shop,Factory,Falafel Restaurant,Farm,Farmers Market
1048,Zhèlín Zhèn,Noodle House,Zoo Exhibit,Fishing Spot,Exhibit,Fabric Shop,Factory,Falafel Restaurant,Farm,Farmers Market,Fast Food Restaurant
1049,Zhāngjiāng Zhèn,Chinese Restaurant,Hotel,Playground,Zoo Exhibit,Farmers Market,Filipino Restaurant,Field,Festival,Fast Food Restaurant,Farm
1050,Zhāngmiào,Noodle House,Convenience Store,Zoo Exhibit,Farmers Market,Financial or Legal Service,Filipino Restaurant,Field,Festival,Fast Food Restaurant,Farm
1051,Zhōngshān,Cantonese Restaurant,Hotel,Chinese Restaurant,Seafood Restaurant,Farmers Market,Filipino Restaurant,Field,Festival,Fast Food Restaurant,Farm
1052,Zhōujiādù,Fujian Restaurant,Multiplex,Shopping Mall,Metro Station,Coffee Shop,Hong Kong Restaurant,Hotpot Restaurant,Food Stand,Festival,Event Space
1053,Zhōupǔ Zhèn,Café,Zoo Exhibit,Fishing Spot,Exhibit,Fabric Shop,Factory,Falafel Restaurant,Farm,Farmers Market,Fast Food Restaurant
1054,Zhūjiājiǎo Zhèn,Chinese Restaurant,Coffee Shop,Historic Site,Bakery,Farm,Filipino Restaurant,Field,Festival,Fast Food Restaurant,Farmers Market
1055,Zizhuyuan,Park,Zoo Exhibit,Event Service,Exhibit,Fabric Shop,Factory,Falafel Restaurant,Farm,Farmers Market,Fast Food Restaurant
1056,Zuojiazhuang,Chinese Restaurant,Xinjiang Restaurant,Bakery,BBQ Joint,Zoo Exhibit,Farmers Market,Financial or Legal Service,Filipino Restaurant,Field,Festival
1057,Zōshigaya,Convenience Store,Café,Intersection,Platform,Tram Station,Restaurant,Candy Store,Grocery Store,Bakery,Bookstore
1058,one-north,Coffee Shop,Café,Noodle House,Sandwich Place,Asian Restaurant,Supermarket,Korean Restaurant,Beer Bar,Fried Chicken Joint,Thai Restaurant
1059,Āntíng Zhèn,Coffee Shop,Pizza Place,Italian Restaurant,Bus Station,Hotel,Fast Food Restaurant,Dessert Shop,Shopping Mall,Shanghai Restaurant,Movie Theater
1060,"Ōmori, Ōta",Convenience Store,Coffee Shop,Ramen Restaurant,Sake Bar,Japanese Restaurant,Discount Store,Grocery Store,Dumpling Restaurant,French Restaurant,Fast Food Restaurant
1061,Ōyamachō,Café,Restaurant,Furniture / Home Store,Intersection,Automotive Shop,Pet Store,Motorcycle Shop,Zoo Exhibit,Filipino Restaurant,Field
